iter	MultiClass
0	1.084645135
1	1.058735583
2	1.044228989
3	1.035842679
4	1.021377566
5	1.012787884
6	0.9990469128
7	0.9850437807
8	0.9804603521
9	0.9661934802
10	0.9556408786
11	0.9422446035
12	0.9263113386
13	0.921641969
14	0.9124007555
15	0.9080034884
16	0.901832342
17	0.8940698167
18	0.8899336177
19	0.8806277789
20	0.8728581836
21	0.8688421095
22	0.8658093761
23	0.8617095656
24	0.8557153326
25	0.8511509449
26	0.8437627403
27	0.837016224
28	0.8319482864
29	0.8298486269
30	0.8254359095
31	0.8245604587
32	0.8197222109
33	0.8153300483
34	0.8119742482
35	0.8067877444
36	0.8038346319
37	0.8012958126
38	0.7995094556
39	0.7971195947
40	0.7950494966
41	0.7938865141
42	0.7932474236
43	0.7915301962
44	0.7892854589
45	0.7868254852
46	0.7850621376
47	0.7832730037
48	0.7818278809
49	0.7789262668
50	0.7781531003
51	0.7758915288
52	0.7748363025
53	0.7730672268
54	0.7702485866
55	0.7687923955
56	0.7670081981
57	0.7664801782
58	0.7622442063
59	0.7615543127
60	0.7603311176
61	0.7591963319
62	0.7567492893
63	0.7559753256
64	0.7530553559
65	0.75224132
66	0.7516733732
67	0.7495573843
68	0.7488337302
69	0.7460846811
70	0.743872761
71	0.742074455
72	0.741022643
73	0.740596526
74	0.7399142293
75	0.7395343181
76	0.7384845199
77	0.736602606
78	0.735594971
79	0.7341611215
80	0.732344863
81	0.7318067071
82	0.729686638
83	0.7273620901
84	0.7256700204
85	0.723833189
86	0.7220314256
87	0.7213659356
88	0.7195287289
89	0.7193021845
90	0.7177964958
91	0.7161498206
92	0.715123995
93	0.713081913
94	0.7126438197
95	0.7120380931
96	0.7117808842
97	0.7109852849
98	0.7103582283
99	0.708774833
100	0.7083189639
101	0.70709639
102	0.7058148947
103	0.7052367278
104	0.7041374162
105	0.7027193259
106	0.7022478785
107	0.701244699
108	0.7009202168
109	0.7001169076
110	0.6990221964
111	0.6982643609
112	0.6975314229
113	0.6956410324
114	0.6951482132
115	0.6947740656
